Word	Similar_Word	Sense_id	Semantic_Similarity
apple	1	compatibles	1	0.8793702
apple	1	computers	1	0.848253
apple	1	desktop	1	0.87717295
apple	1	g5	1	0.8493903
apple	1	iigs	1	0.8470418
apple	1	macs	1	0.87573016
apple	1	palmos	1	0.8672642
apple	1	pocketpc	1	0.8566151
apple	1	ppc	1	0.85516423
apple	1	risc	1	0.85041016
bank	1	afternoons	1	0.7260022
bank	1	evenings	1	0.7211997
bank	1	midnight	1	0.69617665
bank	1	mornings	1	0.71430075
bank	1	sundays	1	0.72649616
bank	1	weekends	1	0.79233694
brother	1	agnes	1	0.869327
brother	1	eldest	1	0.86279786
brother	1	father	1	0.8730712
brother	1	grandfather	1	0.8915589
brother	1	heir	1	0.87037754
brother	1	kinsman	1	0.866963
brother	1	nephew	1	0.9116653
brother	1	sister	1	0.87340546
brother	1	stepson	1	0.9033176
brother	1	younger	1	0.8828002
canon	1	archdeacon	1	0.7758497
canon	1	curate	1	0.791734
canon	1	llandaff	1	0.8015731
canon	1	menevia	1	0.79125935
canon	1	prebendary	1	0.81926674
canon	1	precentor	1	0.84014785
canon	1	revd	1	0.8247831
canon	1	ridley	1	0.838093
canon	1	succentor	1	0.7940209
jaguar	1	525d	1	0.6712121
jaguar	1	bmw	1	0.68016315
jaguar	1	f1	1	0.6852791
jaguar	1	hotwheels	1	0.66185725
jaguar	1	lascala	1	0.6599994
jaguar	1	perrys	1	0.6580458
jaguar	1	peugeot	1	0.6988952
jaguar	1	rc51	1	0.69164747
jaguar	1	v50	1	0.68339884
jaguar	1	vauxhall	1	0.67520124
perl	1	basename	1	0.8882022
perl	1	bash	1	0.8848173
perl	1	bindir	1	0.8855954
perl	1	configure	1	0.88792425
perl	1	dir	1	0.87501526
perl	1	libtool	1	0.8788911
perl	1	makefile	1	0.88242096
perl	1	path	1	0.87408626
perl	1	perl5	1	0.91729534
perl	1	prefix	1	0.88229793
python	1	debugger	1	0.86841244
python	1	debugging	1	0.84855783
python	1	gcc	1	0.86617476
python	1	interpreter	1	0.85693324
python	1	javac	1	0.87015414
python	1	mingw	1	0.84633917
python	1	postgresql	1	0.8636123
python	1	preprocessor	1	0.8491614
python	1	shell	1	0.8581197
ruby	1	eureka	1	0.6769803
ruby	1	gulch	1	0.7038167
ruby	1	mountain	1	0.6739661
ruby	1	placerita	1	0.68100566
ruby	1	sugarloaf	1	0.66272134
ruby	1	tonto	1	0.6756987
apple	1	emulation	2	0.8488633
apple	1	firmware	2	0.84716296
apple	1	ibm	2	0.8748364
apple	1	macintosh	2	0.9087536
apple	1	pcs	2	0.8557953
apple	1	powerpc	2	0.8501078
bank	1	holidays	2	0.7318245
bank	1	midweek	2	0.7160073
brother	1	richard	2	0.8824498
brother	1	william	2	0.87347144
canon	1	bishop	2	0.8190642
canon	1	cranmer	2	0.78818774
canon	1	mgr	2	0.7926914
jaguar	1	gm1	2	0.6937332
jaguar	1	racing	2	0.713303
jaguar	1	vantage	2	0.6736211
perl	1	cp	2	0.8750444
perl	1	env	2	0.8759807
perl	1	exec	2	0.8791449
perl	1	pl	2	0.889417
perl	1	sh	2	0.9013232
perl	1	var	2	0.877294
python	1	pl	2	0.8522683
python	1	wrapper	2	0.86525947
ruby	1	buckskin	2	0.707463
ruby	1	canyon	2	0.66053486
ruby	1	canyons	2	0.6624517
ruby	1	cedar	2	0.6992573
ruby	1	tallulah	2	0.6837127
apple	1	motorola	3	0.85364604
apple	1	pc	3	0.8925748
bank	1	10am	3	0.71130234
bank	1	5pm	3	0.6953719
bank	1	9am	3	0.69404876
bank	1	till	3	0.69551045
bank	1	tuesday	3	0.7090988
brother	1	cousin	3	0.9291998
brother	1	robert	3	0.8643614
brother	1	uncle	3	0.923298
brother	1	wife	3	0.87512046
canon	1	chaplain	3	0.7971533
canon	1	vicar	3	0.81836456
jaguar	1	alfa	3	0.672929
jaguar	1	centurion	3	0.664382
jaguar	1	tempest	3	0.6656793
perl	1	bin	3	0.91565454
perl	1	config	3	0.87815726
perl	1	src	3	0.8736111
python	1	api	3	0.8874049
python	1	gnu	3	0.8511499
python	1	idl	3	0.84904224
python	1	lisp	3	0.8592414
python	1	module	3	0.86936027
python	1	tcl	3	0.8660128
ruby	1	canyon	3	0.72524464
ruby	1	creek	3	0.70426756
ruby	1	hollow	3	0.67653507
ruby	1	palmetto	3	0.6617698
ruby	1	smoky	3	0.658722
apple	1	acorn	4	0.8539777
bank	1	anytime	4	0.6946448
bank	1	easter	4	0.76520485
bank	1	excluding	4	0.7516878
brother	1	george	4	0.8657441
brother	1	ralph	4	0.8659985
brother	1	son	4	0.9052097
canon	1	exeter	4	0.77229714
canon	1	fr	4	0.7890111
canon	1	rector	4	0.79942566
jaguar	1	turbo	4	0.6662021
perl	1	lib	4	0.8865186
python	1	c	4	0.8613015
ruby	1	dawson	4	0.66488004
ruby	1	falls	4	0.66915995
ruby	1	granite	4	0.66234887
apple	1	intel	5	0.88772404
bank	1	holiday	5	0.7053017
bank	1	sunday	5	0.7259727
bank	1	vacation	5	0.69255537
bank	1	weekend	5	0.691506
brother	1	edmund	5	0.88685167
canon	1	incumbent	5	0.78185385
canon	1	priest	5	0.79018366
canon	1	rev	5	0.8121127
jaguar	1	bike	5	0.7000918
jaguar	1	toyota	5	0.71604896
jaguar	1	yamaha	5	0.66905427
python	1	java	5	0.9039045
python	1	package	5	0.8529774
ruby	1	willow	5	0.67504656
apple	2	20gb	1	0.7905425
apple	2	30gb	1	0.78447413
apple	2	gear4	1	0.79518116
apple	2	i4u	1	0.792768
apple	2	logomanager	1	0.7746705
apple	2	lordpercy	1	0.7941711
apple	2	ma146ll	1	0.78087807
apple	2	nano	1	0.80742025
apple	2	pc	1	0.7831327
apple	2	shuffle	1	0.8153481
apple	2	trustedreviews	1	0.79228264
apple	2	usb	1	0.8306906
bank	2	ebrd	1	0.6859647
bank	2	eib	1	0.67392516
bank	2	g7	1	0.67861444
bank	2	imf	1	0.7400549
bank	2	monetary	1	0.7518108
bank	2	prgf	1	0.6349353
brother	2	aunt	1	0.8653074
brother	2	mom	1	0.82869947
brother	2	son	1	0.88481903
canon	2	20d	1	0.8138941
canon	2	300d	1	0.8337524
canon	2	30d	1	0.83947974
canon	2	350d	1	0.85053486
canon	2	a400	1	0.82508546
canon	2	a620	1	0.82403326
canon	2	a700	1	0.8371145
canon	2	eos	1	0.8768949
canon	2	fuji	1	0.838851
canon	2	ixus	1	0.8624581
canon	2	kodak	1	0.8165771
canon	2	minolta	1	0.84762913
canon	2	nikon	1	0.89796156
canon	2	olympus	1	0.8713605
canon	2	pentax	1	0.8392851
canon	2	powershot	1	0.90604395
canon	2	tamron	1	0.83258414
jaguar	2	chevrolet	1	0.8757095
jaguar	2	chrysler	1	0.8851136
jaguar	2	convertible	1	0.8804408
jaguar	2	cosworth	1	0.89372265
jaguar	2	coupe	1	0.87416506
jaguar	2	lwb	1	0.87363285
jaguar	2	mazda	1	0.8774631
jaguar	2	porsche	1	0.8766945
jaguar	2	saloon	1	0.89673775
jaguar	2	v12	1	0.8997085
